,ID,username,vote,from_cali
0,1,dg1501_,concho,1
1,2,lauramurcia_,cuncho,1
2,3,p.castro22,cuncho,1
3,4,nathz_boo1,concho,1
4,5,camibuitragoc,cuncho,0
5,6,jdlondono18,concho,1
6,7,andrea.navarro,concho,1
7,8,danielanarvaezp_,concho,1
8,9,juanslemos,cuncho,0
9,10,mariadelmarrojasa,cuncho,0
10,11,ing.baptist,concho,0
11,12,m.valenciae,concho,1
12,13,veronica.ortiz03,concho,1
13,14,mjjs.11,concho,1
14,15,juanobregon01,concho,1
15,16,juanestebancardonam,concho,1
16,17,christianromo321,concho,1
17,18,juanfelipeescobarb,concho,1
18,19,sebas12238,concho,1
19,20,manurivsss,concho,1
20,21,lfpavac,concho,1
21,22,nriveral00,concho,1
22,23,marianacadaviddv,concho,1
23,24,camilavanarcken,concho,1
24,25,natgonzc,concho,1
25,26,dacalde,concho,1
26,27,j.saldarriaga,concho,1
27,28,antonellalores,concho,0
28,29,juansanta98,concho,1
29,30,lauracorralesm,concho,1
30,31,imfranco_5,concho,1
31,32,valentinapinedarc,concho,1
32,33,javiermperafan,concho,1
33,34,valenciajuangui,concho,1
34,35,jjrincon_23,concho,0
35,36,isabellagomezc,concho,1
36,37,sebsvalencia,concho,1
37,38,the.majopadilla,concho,1
38,39,izapata_o,concho,1
39,40,gatafluida,cuncho,0
40,41,cami_lcop,cuncho,0
41,42,smg_2708,cuncho,0
42,43,stobar7,cuncho,0
43,44,santiagoboteroleon,cuncho,1
44,45,lmoralesver,cuncho,0
45,46,carvitax,cuncho,0
46,47,kevin_lopez1307,cuncho,0
47,48,laurapincay2,cuncho,1
48,49,juanapinerozruiz,cuncho,1
49,50,alejoocamelo,cuncho,0
50,51,piperuiz32,cuncho,0
51,52,joevincq,cuncho,1
52,53,juanitamejia23,cuncho,0
53,54,jenniferkrincon,cuncho,0
54,55,juanisbnanis,cuncho,0
55,56,josegricop,cuncho,0
56,57,majose.ocampo,cuncho,0
57,58,andres.quintero22,cuncho,1
58,59,juan_rueds,cuncho,1
59,60,brigithmina,cuncho,1
60,61,lucia_maldonador,cuncho,0
61,62,nataliahdezg,cuncho,0
62,63,danielasmartinezg,cuncho,1
63,64,andresmolanoe,cuncho,0
64,65,julianagalvisan,cuncho,0
65,66,sampercatalina,cuncho,0
66,67,camil_rive,cuncho,0
67,68,elena.nicholls,cuncho,1
68,69,nico.alvarez04,cuncho,0
69,70,lauayerbe22,cuncho,1
70,71,guillo99vp,cuncho,0
71,72,mv.daza,cuncho,0
72,73,stefanzaldua,cuncho,0
73,74,amoc9,cuncho,0
74,75,santibrito97,cuncho,0
75,76,don_maldo_maldonado,cuncho,0
76,77,c_milaguevara,cuncho,0
77,78,g.arevalo18,cuncho,1
78,79,daniela_zuniga99,cuncho,0
79,80,lina_alvarado21,cuncho,0
80,81,danitrivera,concho,1
81,82,esteban35cardona,cuncho,0
